N,T,pk,pm,fx
65,50,0.75,0.0001,1.9166699999999997
70,50,0.75,0.0001,1.9284400000000002
75,50,0.75,0.0001,1.9212
80,50,0.75,0.0001,1.9550800000000006
30,50,0.8,0.0001,1.7443600000000006
35,50,0.8,0.0001,1.7726400000000007
40,50,0.8,0.0001,1.7944400000000005
45,50,0.8,0.0001,1.8450599999999997
50,50,0.8,0.0001,1.8664100000000006
55,50,0.8,0.0001,1.9073200000000006
60,50,0.8,0.0001,1.9199700000000004
65,50,0.8,0.0001,1.9211000000000005
70,50,0.8,0.0001,1.9140400000000006
75,50,0.8,0.0001,1.9265799999999995
80,50,0.8,0.0001,1.9366699999999997
30,50,0.85,0.0001,1.7969400000000004
35,50,0.85,0.0001,1.7893299999999994
40,50,0.85,0.0001,1.8423299999999991
45,50,0.85,0.0001,1.8607599999999993
50,50,0.85,0.0001,1.8675000000000006
55,50,0.85,0.0001,1.8948500000000001
60,50,0.85,0.0001,1.9016900000000008
65,50,0.85,0.0001,1.9247099999999997
70,50,0.85,0.0001,1.9319199999999999
75,50,0.85,0.0001,1.9470300000000003
80,50,0.85,0.0001,1.9452099999999999
30,50,0.9,0.0001,1.79864
35,50,0.9,0.0001,1.8232400000000004
40,50,0.9,0.0001,1.84219
45,50,0.9,0.0001,1.86128
50,50,0.9,0.0001,1.9006599999999998
55,50,0.9,0.0001,1.9047
60,50,0.9,0.0001,1.9130700000000003
65,50,0.9,0.0001,1.9225200000000005
70,50,0.9,0.0001,1.94056
75,50,0.9,0.0001,1.94492
80,50,0.9,0.0001,1.9500899999999999
30,50,0.5,0.0005,1.71842
35,50,0.5,0.0005,1.74782
40,50,0.5,0.0005,1.8123000000000007
45,50,0.5,0.0005,1.8278699999999999
50,50,0.5,0.0005,1.8089800000000005
55,50,0.5,0.0005,1.8703299999999998
60,50,0.5,0.0005,1.861390000000001
65,50,0.5,0.0005,1.88821
70,50,0.5,0.0005,1.9212300000000002
75,50,0.5,0.0005,1.8870100000000003
80,50,0.5,0.0005,1.9224700000000003
30,50,0.55,0.0005,1.7145800000000007
35,50,0.55,0.0005,1.7647500000000003
40,50,0.55,0.0005,1.8407800000000005
45,50,0.55,0.0005,1.8079399999999999
50,50,0.55,0.0005,1.83447
55,50,0.55,0.0005,1.87485
60,50,0.55,0.0005,1.86826
65,50,0.55,0.0005,1.9018000000000006
70,50,0.55,0.0005,1.9153699999999991
